tag_Lovecraftian,191.0
tag_Dystopian,191.0
tag_Blood,188.0
tag_Investigation,186.0
tag_Otome,185.0
tag_Science,184.0
tag_Alternate History,183.0
tag_Mechs,183.0
tag_Dark Comedy,182.0
tag_Precision Platformer,178.0
tag_Real-Time with Pause,173.0
tag_Video Production,172.0
tag_Crime,167.0
tag_Tanks,166.0
tag_CRPG,165.0
tag_Voxel,162.0
tag_Open World Survival Craft,158.0
tag_Modern,157.0
tag_Cinematic,155.0
tag_Touch-Friendly,152.0
tag_Hex Grid,152.0
tag_Photo Editing,150.0
tag_Comic Book,148.0
tag_Dragons,145.0
tag_Remake,145.0
tag_Kickstarter,144.0
tag_Immersive Sim,144.0
tag_Supernatural,144.0
tag_Pirates,143.0
tag_Political,141.0
tag_Conversation,140.0
tag_Life Sim,139.0
tag_GameMaker,138.0
tag_Grid-Based Movement,137.0
tag_Cats,137.0
tag_Ninja,137.0
tag_Noir,137.0
tag_Philosophical,135.0
tag_Souls-like,135.0
tag_Card Battler,135.0
tag_Inventory Management,132.0
tag_Mythology,132.0
tag_Swordplay,131.0
tag_Deckbuilding,131.0
tag_Parody,131.0
tag_Nonlinear,127.0
tag_Tutorial,127.0
tag_Naval,124.0
tag_Lore-Rich,123.0
tag_Western,122.0
tag_4X,121.0
tag_eSports,119.0
tag_Satire,118.0
tag_Artificial Intelligence,117.0
tag_Battle Royale,114.0
tag_Dinosaurs,114.0
tag_Underwater,113.0
tag_Illuminati,112.0
tag_Trains,112.0
tag_Time Manipulation,112.0
tag_Hacking,111.0
tag_Colony Sim,110.0
tag_Politics,106.0
tag_Word Game,105.0
tag_6DOF,105.0
tag_Bullet Time,103.0
tag_FMV,102.0
tag_Time Attack,102.0
tag_Time Travel,101.0
tag_Co-op Campaign,101.0
tag_Episodic,101.0
tag_Agriculture,100.0
tag_Trading Card Game,100.0
tag_Programming,99.0
tag_Trading,96.0
tag_Minigames,95.0
tag_Cold War,95.0
tag_MOBA,95.0
tag_Hunting,87.0
tag_Superhero,86.0
tag_Fishing,86.0
tag_Gothic,86.0
tag_Gun Customization,86.0
tag_God Game,85.0
tag_Vehicular Combat,84.0
tag_Capitalism,83.0
tag_3D Vision,83.0
tag_America,83.0
tag_Mining,83.0
tag_Farming Sim,80.0
tag_Experience,80.0
tag_Sokoban,78.0
tag_Vampire,78.0
tag_Class-Based,77.0
tag_Crowdfunded,76.0
tag_Villain Protagonist,76.0
tag_Soccer,76.0
tag_Martial Arts,76.0
tag_Mod,74.0
tag_Mystery Dungeon,72.0
tag_Political Sim,71.0
tag_Football,71.0
tag_Dog,69.0
tag_Naval Combat,69.0
tag_3D Fighter,68.0
tag_Silent Protagonist,68.0
tag_Combat Racing,68.0
tag_Trivia,67.0
tag_Solitaire,65.0
tag_Pinball,65.0
tag_Asynchronous Multiplayer,65.0
tag_Dynamic Narration,65.0
tag_Party,65.0
tag_Spectacle fighter,63.0
tag_Automation,63.0
tag_Diplomacy,62.0
tag_Epic,60.0
tag_Assassin,59.0
tag_On-Rails Shooter,59.0
tag_Underground,58.0
tag_Collectathon,58.0
tag_Games Workshop,57.0
tag_Typing,56.0
tag_Music-Based Procedural Generation,55.0
tag_Sniper,54.0
tag_Idler,54.0
tag_Chess,54.0
tag_Sequel,52.0
tag_Hero Shooter,52.0
tag_World War I,51.0
tag_Offroad,49.0
tag_Unforgiving,48.0
tag_Party Game,48.0
tag_Conspiracy,48.0
tag_Golf,47.0
tag_Quick-Time Events,47.0
tag_Faith,47.0
tag_Traditional Roguelike,46.0
tag_Sailing,46.0
tag_Horses,45.0
tag_Gambling,45.0
tag_Archery,42.0
tag_TrackIR,39.0
tag_Warhammer 40K,39.0
tag_Snow,39.0
tag_Heist,39.0
tag_Rome,39.0
tag_Mars,37.0
tag_Roguelike Deckbuilder,36.0
tag_Gaming,36.0
tag_Motorbike,36.0
tag_Based On A Novel,35.0
tag_Werewolves,35.0
tag_Transportation,35.0
tag_Looter Shooter,34.0
tag_Mini Golf,34.0
tag_Transhumanism,33.0
tag_Intentionally Awkward Controls,33.0
tag_Narrative,33.0
tag_Farming,33.0
tag_Bikes,32.0
tag_Medical Sim,29.0
tag_Basketball,28.0
tag_Baseball,27.0
tag_Boxing,27.0
tag_LEGO,26.0
tag_Immersive,25.0
tag_Asymmetric VR,25.0
tag_Movie,24.0
tag_Submarine,23.0
tag_Jet,23.0
tag_Outbreak Sim,21.0
tag_Tennis,20.0
tag_Creature Collector,20.0
tag_Pool,20.0
tag_Auto Battler,19.0
tag_Lemmings,19.0
tag_Spelling,19.0
tag_Foreign,19.0
tag_Wrestling,18.0
tag_Roguevania,18.0
tag_Ambient,17.0
tag_Documentary,17.0
tag_Nostalgia,17.0
tag_Voice Control,16.0
tag_Hockey,15.0
tag_Spaceships,14.0
tag_Skating,14.0
tag_Motocross,14.0
tag_360 Video,12.0
tag_Electronic Music,11.0
tag_Cycling,11.0
tag_Bowling,10.0
tag_Skateboarding,10.0
tag_Well-Written,9.0
tag_Steam Machine,9.0
tag_BMX,8.0
tag_Social Deduction,8.0
tag_Electronic,7.0
tag_Skiing,6.0
tag_Instrumental Music,5.0
tag_ATV,5.0
tag_Rock Music,5.0
tag_Feature Film,4.0
tag_Hardware,4.0
tag_Snowboarding,4.0
tag_Benchmark,4.0
tag_Reboot,3.0
tag_Action RTS,2.0
tag_Breathtaking,1.0
